id_encuestado,carrera,semestre,jornada,trabaja,promedio_actual,q01_horas_estudio,q02_planificacion,q03_entrega_tareas,q04_trabajo_equipo,q05_asistencia,q06_uso_biblioteca,q07_uso_plataformas,q08_consulta_tutorias,q09_disponibilidad_laboratorios,q10_calidad_internet,q11_claridad_docente,q12_puntualidad_docente,q13_retroalimentacion,q14_evaluacion_justa,q15_dificultad_cursos,q16_estres_academico,q17_equilibrio_vida_estudio,q18_satisfaccion_carrera,q19_intencion_continuar,q20_recomendaria_facultad
1,Ingeniería de Sistemas,7,Vespertina,No,74,2,3,2,3,3,2,5,3,3,2,3,4,2,4,3,3,3,5,4,2
2,Ingeniería de Sistemas,7,Matutina,No,78,3,4,4,2,4,3,3,3,4,4,3,3,4,4,3,3,2,2,4,5
3,Ingeniería Eléctrica,6,Matutina,No,76,3,4,5,3,3,2,4,3,3,3,4,5,3,3,3,2,3,4,4,3
4,Ingeniería de Sistemas,5,Matutina,No,72,3,3,3,2,4,4,4,3,5,2,4,5,2,3,3,2,2,4,3,4
5,Ingeniería Electrónica,6,Nocturna,Sí,64,1,1,3,3,3,3,3,3,3,2,5,4,2,4,3,5,3,2,4,4
6,Ingeniería Electrónica,6,Matutina,No,66,3,2,2,3,3,4,4,3,2,2,3,4,3,2,4,3,2,4,4,3
7,Ingeniería Eléctrica,7,Vespertina,No,63,2,3,2,2,2,3,5,1,4,2,3,5,3,2,3,5,2,3,4,3
8,Ingeniería Electrónica,6,Vespertina,No,56,2,2,4,3,1,4,5,4,2,2,5,3,4,4,2,3,1,2,3,2
9,Ingeniería de Sistemas,6,Vespertina,Sí,84,3,4,5,2,5,1,3,4,4,3,3,3,3,4,4,3,3,4,4,4
10,Ingeniería de Sistemas,5,Vespertina,No,73,4,3,4,3,3,3,4,4,3,5,3,2,4,4,4,3,3,3,4,3
11,Ingeniería Electrónica,7,Matutina,Sí,76,2,3,3,4,4,3,3,2,3,3,4,3,4,5,3,4,3,3,3,3
12,Ingeniería de Sistemas,6,Nocturna,Sí,84,2,3,3,4,4,5,4,3,3,4,2,5,4,3,2,5,3,4,2,3
13,Ingeniería de Sistemas,7,Nocturna,No,76,2,4,4,3,5,3,4,3,5,4,3,4,4,5,3,4,4,2,3,2
14,Ingeniería Eléctrica,5,Matutina,No,85,4,2,3,2,3,3,2,3,2,2,3,3,3,2,5,3,2,4,3,3
15,Ingeniería Eléctrica,7,Matutina,Sí,69,2,2,1,3,2,1,3,2,4,3,4,5,3,3,5,4,2,3,3,2
16,Ingeniería Electrónica,6,Matutina,No,62,2,2,2,3,3,2,3,4,2,3,3,4,3,2,2,3,4,2,4,2
17,Ingeniería de Sistemas,6,Matutina,Sí,64,3,2,3,2,3,3,5,4,4,3,3,3,4,3,4,5,4,3,4,3
18,Ingeniería Electrónica,5,Matutina,No,72,3,3,4,5,3,3,3,2,4,2,3,3,4,4,4,2,3,3,3,4
19,Ingeniería de Sistemas,7,Vespertina,No,80,5,4,4,4,4,3,3,3,5,4,5,3,2,3,3,5,2,5,3,3
20,Ingeniería Eléctrica,5,Matutina,No,78,1,3,3,4,5,4,3,2,5,3,3,3,3,3,3,3,3,3,3,3
21,Ingeniería Eléctrica,6,Matutina,No,83,4,2,3,4,2,3,3,3,4,3,3,4,2,4,4,3,3,3,5,4
22,Ingeniería Eléctrica,5,Matutina,No,58,2,3,3,3,2,3,3,1,2,3,4,4,3,4,2,2,3,2,4,2
23,Ingeniería Electrónica,7,Matutina,Sí,74,3,2,3,2,3,2,3,4,3,5,4,4,3,4,3,4,5,3,4,3
24,Ingeniería de Sistemas,5,Vespertina,No,68,3,3,3,2,3,4,4,4,4,3,3,2,4,3,4,2,2,4,3,4
25,Ingeniería Eléctrica,7,Matutina,No,75,4,3,4,2,4,4,3,4,3,4,5,3,3,5,5,3,3,3,2,3
26,Ingeniería de Sistemas,5,Matutina,Sí,70,3,3,3,5,2,3,3,3,3,4,5,3,2,4,3,4,3,2,5,5
27,Ingeniería de Sistemas,7,Matutina,Sí,75,3,3,3,4,5,3,3,4,4,5,4,3,4,5,4,4,3,4,5,4
28,Ingeniería de Sistemas,7,Nocturna,Sí,72,2,3,4,5,3,3,4,4,3,3,4,4,3,3,5,3,3,3,4,2
29,Ingeniería de Sistemas,7,Nocturna,No,71,2,4,3,3,2,4,4,3,5,2,2,3,3,4,3,4,2,4,3,4
30,Ingeniería Eléctrica,5,Nocturna,No,76,3,2,3,3,4,2,3,1,3,1,2,4,4,4,2,3,3,3,5,5
31,Ingeniería Electrónica,5,Matutina,No,70,3,2,3,3,4,3,4,2,4,3,5,3,5,3,3,2,3,4,4,3
32,Ingeniería Electrónica,6,Vespertina,No,74,2,2,3,4,5,3,4,3,3,4,4,2,4,4,3,3,4,4,3,3
33,Ingeniería Eléctrica,5,Nocturna,Sí,73,2,3,3,3,3,2,4,2,2,2,4,4,3,3,3,5,3,4,4,4
34,Ingeniería de Sistemas,5,Matutina,Sí,76,5,3,4,2,4,2,3,5,3,3,4,4,3,4,5,3,3,5,5,4
35,Ingeniería de Sistemas,6,Matutina,No,77,4,2,4,4,3,4,3,3,3,3,3,2,5,3,3,1,3,3,5,4
36,Ingeniería Electrónica,6,Matutina,No,52,3,3,3,2,2,3,2,3,2,2,3,4,4,2,3,4,2,3,4,3
37,Ingeniería de Sistemas,6,Vespertina,Sí,58,2,2,2,2,1,4,2,2,2,4,3,5,3,4,3,5,2,3,4,4
38,Ingeniería de Sistemas,5,Matutina,No,81,4,5,3,3,3,2,3,2,3,2,3,2,3,4,1,3,4,3,5,4
39,Ingeniería Electrónica,5,Vespertina,No,77,2,3,4,3,5,3,3,3,3,3,4,4,2,2,2,3,2,2,4,5
40,Ingeniería Eléctrica,6,Nocturna,No,73,3,2,3,3,4,3,3,4,4,3,3,2,2,3,3,3,3,4,3,4
41,Ingeniería de Sistemas,6,Matutina,Sí,61,2,2,3,2,3,4,4,2,1,4,2,4,2,2,4,4,2,1,3,4
42,Ingeniería Electrónica,5,Matutina,No,72,3,4,2,2,4,3,3,4,3,5,4,3,5,3,4,3,4,5,3,3
43,Ingeniería de Sistemas,7,Matutina,No,73,4,2,2,4,3,3,4,3,3,5,3,4,3,3,5,4,4,4,3,3
44,Ingeniería Eléctrica,5,Matutina,No,89,3,5,4,4,4,4,3,2,3,2,3,4,4,3,3,4,4,5,4,2
45,Ingeniería Electrónica,7,Vespertina,No,74,4,2,3,3,3,3,3,3,2,2,4,3,5,3,4,4,2,2,2,5
46,Ingeniería Eléctrica,5,Vespertina,No,67,2,3,3,2,3,4,3,4,2,3,3,2,3,3,5,4,2,5,5,4
47,Ingeniería de Sistemas,6,Nocturna,Sí,88,4,3,3,1,4,4,5,2,2,3,2,4,4,4,3,3,2,3,3,4
48,Ingeniería de Sistemas,7,Matutina,No,76,4,2,4,2,4,3,2,4,2,2,4,5,3,4,4,4,3,3,3,4
49,Ingeniería Electrónica,6,Matutina,No,77,3,3,3,3,4,4,3,3,3,1,4,3,3,5,4,3,3,4,4,2
50,Ingeniería de Sistemas,7,Vespertina,No,72,2,4,5,2,3,4,3,3,2,3,3,4,4,5,4,3,3,3,4,3
51,Ingeniería Eléctrica,6,Vespertina,Sí,81,3,3,3,2,5,2,4,4,3,2,4,3,2,4,2,5,2,4,4,3
52,Ingeniería de Sistemas,7,Matutina,No,77,4,3,4,5,4,2,4,3,1,4,3,3,4,3,4,3,4,3,4,4
53,Ingeniería de Sistemas,7,Vespertina,Sí,68,2,2,4,4,3,3,3,4,2,3,4,4,4,4,1,4,2,2,4,4
54,Ingeniería Eléctrica,6,Vespertina,No,87,4,5,3,4,3,2,3,3,3,2,2,3,2,4,3,2,3,3,4,5
55,Ingeniería Electrónica,5,Nocturna,Sí,71,1,1,3,3,1,3,3,3,4,4,3,3,1,3,3,3,3,3,3,3
56,Ingeniería Eléctrica,6,Vespertina,No,72,3,3,3,1,3,3,3,2,4,2,4,4,3,5,2,4,4,3,5,3
57,Ingeniería Eléctrica,7,Nocturna,Sí,78,3,4,4,4,3,3,2,2,4,4,2,3,3,3,3,5,2,3,4,3
58,Ingeniería de Sistemas,5,Matutina,No,71,2,2,2,3,5,5,4,4,2,3,3,3,3,3,2,3,3,4,5,3
59,Ingeniería Electrónica,6,Nocturna,No,83,5,4,4,3,4,2,3,2,3,3,4,4,2,4,2,3,3,5,2,5
60,Ingeniería Electrónica,7,Nocturna,Sí,76,4,3,3,3,4,4,3,3,2,2,3,4,4,4,4,4,2,4,4,4
61,Ingeniería Electrónica,7,Nocturna,Sí,72,3,2,3,4,2,2,2,2,4,3,3,2,4,2,3,4,4,2,1,3
62,Ingeniería Electrónica,6,Matutina,No,80,3,3,3,3,3,4,3,3,3,3,4,3,3,3,2,3,3,4,4,3
63,Ingeniería Electrónica,7,Matutina,No,77,3,3,4,4,3,2,3,3,2,1,3,2,3,3,3,5,4,4,4,3
